player_name,team,position_group,minutes_total,gk_volume_faced_proxy,gk_save_actions_proxy,gk_efficiency_pct_proxy,volume_defensivo_gk_index,eficiencia_gk_index,distribuicao_gk_index,pressao_sofrida_gk_index,gk_matches_pdf,gk_gk_total_involvements_sum_pdf,gk_gk_line_breaks_sum_pdf,gk_gk_distribution_page_no_sum_pdf,gk_gk_attempts_on_goal_faced_sum_pdf,gk_gk_save_pct_mean_pdf,gk_gk_attempts_faced_table_sum_pdf,gk_gk_total_goal_interventions_sum_pdf,gk_gk_save_retain_sum_pdf,gk_gk_deflect_retain_sum_pdf,gk_gk_save_deflect_sum_pdf,gk_gk_save_attempt_sum_pdf,gk_gk_no_save_attempt_sum_pdf,gk_gk_goal_prevention_page_no_sum_pdf,gk_squad_no_sum_pdf,gk_minutes_played_est_sum_pdf,gk_active_matches_pdf,gk_active_minutes_pdf,gk_matches_pdf_per90,gk_gk_total_involvements_sum_pdf_per90,gk_gk_line_breaks_sum_pdf_per90,gk_gk_distribution_page_no_sum_pdf_per90,gk_gk_attempts_on_goal_faced_sum_pdf_per90,gk_gk_save_pct_mean_pdf_per90,gk_gk_attempts_faced_table_sum_pdf_per90,gk_gk_total_goal_interventions_sum_pdf_per90,gk_gk_save_retain_sum_pdf_per90,gk_gk_deflect_retain_sum_pdf_per90,gk_gk_save_deflect_sum_pdf_per90,gk_gk_save_attempt_sum_pdf_per90,gk_gk_no_save_attempt_sum_pdf_per90,gk_gk_goal_prevention_page_no_sum_pdf_per90,gk_squad_no_sum_pdf_per90,gk_minutes_played_est_sum_pdf_per90,gk_active_matches_pdf_per90,gk_active_minutes_pdf_per90,gk_matches_pdf_per90__dup1,gk_gk_total_involvements_sum_pdf_per90__dup1,gk_gk_line_breaks_sum_pdf_per90__dup1,gk_gk_distribution_page_no_sum_pdf_per90__dup1,gk_gk_attempts_on_goal_faced_sum_pdf_per90__dup1,gk_gk_save_pct_mean_pdf_per90__dup1,gk_gk_attempts_faced_table_sum_pdf_per90__dup1,gk_gk_total_goal_interventions_sum_pdf_per90__dup1,gk_gk_save_retain_sum_pdf_per90__dup1,gk_gk_deflect_retain_sum_pdf_per90__dup1,gk_gk_save_deflect_sum_pdf_per90__dup1,gk_gk_save_attempt_sum_pdf_per90__dup1,gk_gk_no_save_attempt_sum_pdf_per90__dup1,gk_gk_goal_prevention_page_no_sum_pdf_per90__dup1,gk_squad_no_sum_pdf_per90__dup1,gk_minutes_played_est_sum_pdf_per90__dup1,gk_active_matches_pdf_per90__dup1,gk_active_minutes_pdf_per90__dup1
Orlando GILL,Paraguay,GK,,272.0,301.0,82.6,99.6,94.4,43.7,100.0,5.0,281.0,113.0,165.0,100.0,82.6,100.0,27.0,15.0,1.0,12.0,17.0,55.0,175.0,60.0,469.0,5.0,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibaut COURTOIS,Belgium,GK,,197.0,301.0,67.0,95.2,80.6,80.4,91.4,6.0,304.0,86.0,200.0,72.0,67.0,72.0,18.0,5.0,1.0,13.0,11.0,42.0,212.0,6.0,564.0,6.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSTAFA SHOUBIR,Egypt,GK,,215.0,269.0,80.8,94.0,88.8,79.7,96.6,5.0,250.0,43.0,166.0,77.0,80.8,77.0,16.0,4.0,0.0,12.0,12.0,49.0,176.0,115.0,496.0,5.0,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregor KOBEL,Switzerland,GK,,190.0,296.0,85.0,91.4,95.7,88.9,87.9,6.0,342.0,81.0,196.0,70.0,85.0,70.0,19.0,9.0,1.0,10.0,9.0,41.0,208.0,6.0,594.0,6.0,594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yassine BOUNOU,Morocco,GK,,181.0,298.0,59.16666666666666,89.2,75.9,74.5,81.9,6.0,300.0,64.0,199.0,67.0,59.16666666666666,67.0,20.0,7.0,0.0,13.0,7.0,40.0,211.0,6.0,566.0,6.0,566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan PICKFORD,England,GK,,182.0,292.0,57.5,88.8,71.6,87.3,84.5,6.0,313.0,90.0,198.0,66.0,57.5,66.0,16.0,6.0,0.0,10.0,14.0,36.0,210.0,6.0,547.0,6.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orjan NYLAND,Norway,GK,,196.0,256.0,55.2,87.5,62.5,74.3,89.7,5.0,296.0,111.0,163.0,71.0,55.2,71.0,15.0,4.0,3.0,10.0,17.0,37.0,173.0,5.0,483.0,5.0,483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIOGO COSTA,Portugal,GK,,187.0,259.0,83.2,87.1,89.6,76.5,86.2,5.0,216.0,36.0,162.0,69.0,83.2,69.0,19.0,7.0,1.0,12.0,7.0,42.0,172.0,5.0,468.0,5.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOZINHA,Cabo Verde,GK,,207.0,222.0,68.25,86.2,70.7,72.4,94.8,4.0,268.0,81.0,133.0,75.0,68.25,75.0,12.0,4.0,6.0,8.0,7.0,50.0,141.0,4.0,394.0,4.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHMOUD ABUNADA,Qatar,GK,,217.0,203.0,62.333333333333336,81.5,62.5,28.5,98.3,3.0,196.0,52.0,100.0,79.0,62.333333333333336,79.0,19.0,0.0,1.0,19.0,9.0,50.0,106.0,3.0,270.0,3.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano MARTINEZ,Argentina,GK,,141.0,267.0,40.0,79.4,53.4,84.6,69.0,6.0,248.0,64.0,196.0,50.0,40.0,50.0,9.0,3.0,0.0,6.0,4.0,37.0,208.0,138.0,608.0,6.0,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick BEACH,Australia,GK,,181.0,214.0,81.25,78.0,81.0,51.0,81.9,4.0,198.0,54.0,131.0,65.0,81.25,65.0,13.0,5.0,3.0,6.0,9.0,42.0,139.0,72.0,392.0,4.0,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander SCHLAGER,Austria,GK,,162.0,212.0,56.0,74.2,57.8,78.7,75.9,4.0,194.0,26.0,132.0,59.0,56.0,59.0,14.0,5.0,1.0,9.0,16.0,28.0,140.0,4.0,317.0,4.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max CROCOMBE,New Zealand,GK,,201.0,183.0,52.333333333333336,70.7,40.6,58.3,93.1,3.0,195.0,42.0,100.0,71.0,52.333333333333336,71.0,9.0,2.0,3.0,7.0,14.0,45.0,106.0,3.0,258.0,3.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALISSON,Brazil,GK,,132.0,237.0,75.4,70.6,81.9,80.8,60.3,5.0,190.0,34.0,163.0,49.0,75.4,49.0,15.0,7.0,0.0,8.0,7.0,27.0,173.0,5.0,456.0,5.0,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik LIVAKOVIC,Croatia,GK,,144.0,203.0,49.25,68.6,45.3,70.0,72.4,4.0,197.0,44.0,132.0,52.0,49.25,52.0,12.0,0.0,1.0,11.0,10.0,30.0,140.0,4.0,374.0,4.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hernan GALINDEZ,Ecuador,GK,,147.0,202.0,68.75,67.6,63.4,46.1,74.1,4.0,167.0,53.0,131.0,53.0,68.75,53.0,11.0,5.0,1.0,6.0,11.0,30.0,139.0,4.0,370.0,4.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilo VARGAS,Colombia,GK,,125.0,226.0,70.0,67.2,73.7,89.5,55.2,5.0,254.0,56.0,165.0,44.0,70.0,44.0,7.0,3.0,0.0,4.0,10.0,27.0,175.0,60.0,483.0,5.0,483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHAMMED ALOWAIS,Saudi Arabia,GK,,177.0,189.0,83.66666666666667,66.4,74.1,30.2,79.3,3.0,171.0,44.0,100.0,65.0,83.66666666666667,65.0,18.0,3.0,0.0,15.0,8.0,39.0,106.0,63.0,273.0,3.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eloy ROOM,Curaçao,GK,,168.0,185.0,56.333333333333336,63.8,48.3,26.8,77.6,3.0,161.0,50.0,100.0,63.0,56.333333333333336,63.0,19.0,8.0,3.0,10.0,10.0,32.0,106.0,3.0,255.0,3.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahia FOFANA,Côte d'Ivoire,GK,,142.0,196.0,51.0,63.8,43.1,47.4,70.7,4.0,182.0,61.0,130.0,51.0,51.0,51.0,9.0,3.0,2.0,6.0,9.0,31.0,138.0,4.0,360.0,4.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
