match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no
1,Mexico,37.0,13.0,32,"[""13"", ""30"", ""0"", ""3""]",3.0,100.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,34
1,South Africa,67.0,18.0,33,"[""18"", ""39"", ""1"", ""7""]",17.0,50.0,17.0,5.0,3.0,1.0,2.0,2.0,9.0,35
2,Korea Republic,42.0,17.0,32,"[""17"", ""32"", ""1"", ""2""]",7.0,75.0,7.0,3.0,2.0,0.0,1.0,1.0,3.0,34
2,Czechia,49.0,23.0,33,"[""23"", ""26"", ""0"", ""6""]",15.0,67.0,15.0,6.0,1.0,0.0,5.0,2.0,7.0,35
3,Canada,38.0,8.0,32,"[""8"", ""24"", ""0"", ""2""]",8.0,67.0,8.0,2.0,2.0,0.0,0.0,0.0,6.0,34
3,Bosnia and Herzegovina,53.0,21.0,33,"[""21"", ""24"", ""6"", ""3""]",13.0,67.0,13.0,2.0,1.0,0.0,1.0,1.0,10.0,35
4,USA,33.0,9.0,32,"[""9"", ""20"", ""0"", ""3""]",9.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,7.0,34
4,Paraguay,53.0,15.0,33,"[""15"", ""21"", ""3"", ""5""]",17.0,50.0,17.0,4.0,3.0,0.0,1.0,5.0,8.0,35
5,Haiti,44.0,11.0,32,"[""11"", ""29"", ""2"", ""2""]",9.0,50.0,9.0,2.0,1.0,0.0,1.0,2.0,5.0,34
5,Scotland,60.0,18.0,33,"[""18"", ""36"", ""1"", ""5""]",15.0,100.0,15.0,1.0,1.0,2.0,0.0,2.0,10.0,35
6,Australia,75.0,20.0,33,"[""20"", ""35"", ""1"", ""5""]",31.0,100.0,31.0,7.0,3.0,1.0,4.0,3.0,20.0,35
6,Türkiye,37.0,3.0,34,"[""3"", ""19"", ""0"", ""4""]",9.0,50.0,9.0,1.0,0.0,1.0,1.0,2.0,5.0,36
7,Brazil,45.0,9.0,32,"[""9"", ""26"", ""1"", ""2""]",14.0,67.0,14.0,3.0,2.0,0.0,1.0,2.0,9.0,34
7,Morocco,57.0,17.0,33,"[""17"", ""34"", ""2"", ""3""]",13.0,80.0,13.0,4.0,2.0,0.0,2.0,1.0,8.0,35
8,Qatar,74.0,14.0,33,"[""14"", ""28"", ""3"", ""4""]",28.0,83.0,28.0,6.0,0.0,1.0,6.0,4.0,17.0,35
8,Switzerland,35.0,3.0,34,"[""3"", ""18"", ""0"", ""6""]",7.0,100.0,7.0,3.0,1.0,0.0,2.0,1.0,3.0,36
9,Côte d'Ivoire,46.0,16.0,32,"[""16"", ""24"", ""1"", ""3""]",13.0,0.0,13.0,1.0,0.0,0.0,1.0,2.0,10.0,34
9,Ecuador,57.0,20.0,33,"[""20"", ""31"", ""0"", ""6""]",16.0,75.0,16.0,2.0,2.0,1.0,0.0,3.0,10.0,35
10,Germany,33.0,7.0,33,"[""7"", ""22"", ""0"", ""2""]",8.0,50.0,8.0,2.0,1.0,0.0,1.0,2.0,4.0,35
10,Curaçao,66.0,16.0,34,"[""16"", ""29"", ""0"", ""6""]",26.0,36.0,26.0,3.0,1.0,1.0,2.0,8.0,14.0,36
11,Netherlands,43.0,11.0,32,"[""11"", ""30"", ""0"", ""2""]",10.0,50.0,10.0,2.0,1.0,0.0,1.0,4.0,4.0,34
11,Japan,36.0,9.0,33,"[""9"", ""18"", ""2"", ""4""]",11.0,67.0,11.0,6.0,4.0,0.0,2.0,2.0,3.0,35
12,Sweden,36.0,15.0,32,"[""15"", ""28"", ""0"", ""1""]",7.0,50.0,7.0,2.0,1.0,0.0,1.0,0.0,5.0,34
12,Tunisia,43.0,9.0,33,"[""9"", ""17"", ""1"", ""4""]",13.0,17.0,13.0,3.0,0.0,0.0,3.0,4.0,6.0,35
13,Saudi Arabia,62.0,21.0,33,"[""21"", ""28"", ""0"", ""2""]",27.0,89.0,27.0,9.0,1.0,0.0,8.0,2.0,16.0,35
13,Uruguay,42.0,5.0,34,"[""5"", ""29"", ""1"", ""2""]",7.0,67.0,7.0,2.0,0.0,0.0,2.0,2.0,3.0,36
14,Spain,35.0,1.0,33,"[""1"", ""17"", ""0"", ""7""]",6.0,100.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,35
14,Cabo Verde,90.0,25.0,34,"[""25"", ""42"", ""1"", ""10""]",28.0,100.0,28.0,3.0,1.0,4.0,2.0,1.0,20.0,36
15,IR Iran,39.0,6.0,32,"[""6"", ""15"", ""1"", ""7""]",14.0,71.0,14.0,6.0,6.0,0.0,0.0,3.0,5.0,34
15,New Zealand,61.0,13.0,33,"[""13"", ""38"", ""0"", ""3""]",17.0,50.0,17.0,2.0,2.0,0.0,0.0,4.0,11.0,35
16,Belgium,36.0,6.0,32,"[""6"", ""13"", ""0"", ""5""]",15.0,67.0,15.0,4.0,0.0,0.0,4.0,1.0,10.0,34
16,Egypt,53.0,14.0,33,"[""14"", ""29"", ""2"", ""2""]",17.0,100.0,17.0,3.0,2.0,0.0,1.0,4.0,10.0,35
17,France,55.0,18.0,32,"[""18"", ""39"", ""0"", ""7""]",7.0,50.0,7.0,1.0,0.0,2.0,1.0,1.0,3.0,34
