match_no,team,squad_no,player_name,position_group,starter,sub_on_minute,sub_off_minute,minutes_played_est,minute_source,lineup_events_raw,lineup_raw,player_match_id
1,Mexico,1,Raul RANGEL,GK,1,,,92,estimated_full_match,,1 GK Raul RANGEL,M001_mexico_01
1,Mexico,3,Cesar MONTES,DF,1,,,92,estimated_full_match,92,3 DF Cesar MONTES,M001_mexico_03
1,Mexico,5,Johan VASQUEZ,DF,1,,,92,estimated_full_match,,5 DF Johan VASQUEZ,M001_mexico_05
1,Mexico,6,Erik LIRA,MF,1,,76.0,76,estimated_from_matching_sub_time,76,6 MF Erik LIRA,M001_mexico_06
1,Mexico,8,Alvaro FIDALGO,MF,1,,66.0,66,estimated_from_matching_sub_time,66,8 MF Alvaro FIDALGO,M001_mexico_08
1,Mexico,9,Raul JIMENEZ,FW,1,,76.0,76,estimated_from_matching_sub_time,"67,76",9 FW Raul JIMENEZ,M001_mexico_09
1,Mexico,15,Israel REYES,DF,1,,,92,estimated_full_match,,15 DF Israel REYES,M001_mexico_15
1,Mexico,16,Julian QUINONES,FW,1,,79.0,79,estimated_from_matching_sub_time,"9,79",16 FW Julian QUINONES,M001_mexico_16
1,Mexico,23,Jesus GALLARDO,DF,1,,,92,estimated_full_match,,23 DF Jesus GALLARDO,M001_mexico_23
1,Mexico,25,Roberto ALVARADO,FW,1,,,92,estimated_full_match,,25 FW Roberto ALVARADO,M001_mexico_25
1,Mexico,26,Brian GUTIERREZ,MF,1,,66.0,66,estimated_from_matching_sub_time,"23,66",26 MF Brian GUTIERREZ,M001_mexico_26
1,Mexico,12,Carlos ACEVEDO,GK,0,,,0,listed_sub_not_used_or_no_time_mark,,12 GK Carlos ACEVEDO,M001_mexico_12
1,Mexico,13,Guillermo OCHOA,GK,0,,,0,listed_sub_not_used_or_no_time_mark,,13 GK Guillermo OCHOA,M001_mexico_13
1,Mexico,2,Jorge SANCHEZ,DF,0,,,0,listed_sub_not_used_or_no_time_mark,,2 DF Jorge SANCHEZ,M001_mexico_02
