player_name,team,position_group,minutes_total,passes_attempted_pdf,passes_attempted_pdf_percentile_overall,passes_attempted_pdf_percentile_GK,passes_attempted_pdf_percentile_DF,passes_attempted_pdf_percentile_MF,passes_attempted_pdf_percentile_FW,passes_completed_pdf,passes_completed_pdf_percentile_overall,passes_completed_pdf_percentile_GK,passes_completed_pdf_percentile_DF,passes_completed_pdf_percentile_MF,passes_completed_pdf_percentile_FW,pass_success_pct_pdf,pass_success_pct_pdf_percentile_overall,pass_success_pct_pdf_percentile_GK,pass_success_pct_pdf_percentile_DF,pass_success_pct_pdf_percentile_MF,pass_success_pct_pdf_percentile_FW,line_breaks_pdf,line_breaks_pdf_percentile_overall,line_breaks_pdf_percentile_GK,line_breaks_pdf_percentile_DF,line_breaks_pdf_percentile_MF,line_breaks_pdf_percentile_FW,offers_made_pdf,offers_made_pdf_percentile_overall,offers_made_pdf_percentile_GK,offers_made_pdf_percentile_DF,offers_made_pdf_percentile_MF,offers_made_pdf_percentile_FW,offers_received_pdf,offers_received_pdf_percentile_overall,offers_received_pdf_percentile_GK,offers_received_pdf_percentile_DF,offers_received_pdf_percentile_MF,offers_received_pdf_percentile_FW,distance_km_pdf,distance_km_pdf_percentile_overall,distance_km_pdf_percentile_GK,distance_km_pdf_percentile_DF,distance_km_pdf_percentile_MF,distance_km_pdf_percentile_FW,sprints_pdf,sprints_pdf_percentile_overall,sprints_pdf_percentile_GK,sprints_pdf_percentile_DF,sprints_pdf_percentile_MF,sprints_pdf_percentile_FW,high_speed_runs_pdf,high_speed_runs_pdf_percentile_overall,high_speed_runs_pdf_percentile_GK,high_speed_runs_pdf_percentile_DF,high_speed_runs_pdf_percentile_MF,high_speed_runs_pdf_percentile_FW,top_speed_kmh_pdf,top_speed_kmh_pdf_percentile_overall,top_speed_kmh_pdf_percentile_GK,top_speed_kmh_pdf_percentile_DF,top_speed_kmh_pdf_percentile_MF,top_speed_kmh_pdf_percentile_FW,defensive_actions_proxy_pdf,defensive_actions_proxy_pdf_percentile_overall,defensive_actions_proxy_pdf_percentile_GK,defensive_actions_proxy_pdf_percentile_DF,defensive_actions_proxy_pdf_percentile_MF,defensive_actions_proxy_pdf_percentile_FW,shots_pdf,shots_pdf_percentile_overall,shots_pdf_percentile_GK,shots_pdf_percentile_DF,shots_pdf_percentile_MF,shots_pdf_percentile_FW,xg_pdf,xg_pdf_percentile_overall,xg_pdf_percentile_GK,xg_pdf_percentile_DF,xg_pdf_percentile_MF,xg_pdf_percentile_FW,key_pass_proxy_pdf,key_pass_proxy_pdf_percentile_overall,key_pass_proxy_pdf_percentile_GK,key_pass_proxy_pdf_percentile_DF,key_pass_proxy_pdf_percentile_MF,key_pass_proxy_pdf_percentile_FW
ABDALLAH ALFAKHORI,Jordan,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.1,30.0,,,,,,,,,,,,,,,,,,,,,
ABDALLAH NASIB,Jordan,DF,,97.0,62.6,,47.7,,,70.0,58.7,,43.8,,,72.2,16.0,,7.8,,,,,,,,,29.0,38.5,,46.4,,,14.0,47.2,,51.4,,,26.87,62.7,,56.2,,,86.0,55.4,,53.4,,,269.0,60.1,,58.5,,,32.4,63.6,,56.0,,,220.0,74.8,,76.1,,,,,,,,,,,,,,,,,,,,
ABDULAZIZ HATEM,Qatar,MF,,32.0,32.4,,,25.5,,26.0,32.3,,,24.8,,81.2,37.0,,,24.4,,,,,,,,31.0,40.2,,,24.5,,17.0,53.2,,,37.2,,5.83,18.5,,,15.9,,28.0,23.7,,,15.9,,86.0,26.6,,,17.7,,27.1,7.9,,,5.7,,69.0,41.8,,,29.6,,,,,,,,,,,,,,,,,,,
ABDULELAH ALAMRI,Saudi Arabia,DF,,99.0,63.7,,49.4,,,81.0,63.7,,49.1,,,81.8,39.0,,26.1,,,,,,,,,30.0,39.3,,47.7,,,16.0,51.3,,56.2,,,25.21,59.4,,52.0,,,89.0,57.2,,55.8,,,252.0,57.1,,54.0,,,31.6,48.2,,39.0,,,149.0,60.4,,57.6,,,,,,,,,,,,,,,,,,,,
ABDULLAH ALHAMDDAN,Saudi Arabia,FW,,22.0,24.7,,,,46.9,16.0,23.4,,,,45.9,72.7,17.0,,,,29.0,,,,,,,39.0,47.2,,,,45.2,9.0,33.2,,,,42.3,10.73,31.1,,,,43.9,70.0,48.2,,,,52.0,170.0,42.4,,,,51.0,31.6,48.2,,,,39.3,147.0,59.9,,,,59.5,,,,,,,,,,,,,,,,,,
ABDULLAH ALKHAIBARI,Saudi Arabia,MF,,58.0,46.4,,,40.5,,48.0,46.5,,,39.9,,82.8,42.8,,,29.4,,,,,,,,46.0,52.0,,,34.1,,13.0,44.7,,,30.4,,23.61,56.6,,,48.6,,76.0,51.3,,,43.1,,345.0,71.7,,,60.1,,28.2,12.3,,,10.9,,194.0,69.4,,,58.2,,,,,,,,,,,,,,,,,,,
AHMED ALAAELDIN,Qatar,FW,,8.0,11.0,,,,20.7,4.0,7.6,,,,14.8,50.0,2.4,,,,4.7,,,,,,,20.0,29.2,,,,30.8,5.0,20.4,,,,26.7,6.05,19.4,,,,27.6,30.0,25.0,,,,25.5,70.0,23.5,,,,26.2,31.7,49.8,,,,40.8,62.0,40.1,,,,34.8,,,,,,,,,,,,,,,,,,
AHMED ALGANEHI,Qatar,MF,,12.0,15.8,,,10.9,,11.0,17.8,,,12.8,,91.7,78.8,,,76.5,,,,,,,,7.0,11.7,,,6.4,,1.0,4.5,,,2.6,,4.2,13.4,,,11.9,,24.0,21.9,,,14.2,,51.0,18.5,,,10.7,,30.0,25.6,,,29.2,,37.0,32.6,,,23.6,,,,,,,,,,,,,,,,,,,
AHMED ALKASSAR,Saudi Arabia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.1,30.0,,,,,,,,,,,,,,,,,,,,,
AHMED BASIL,Iraq,GK,,71.0,52.5,30.3,,,,42.0,43.5,27.0,,,,59.2,4.5,20.0,,,,,,,,,,12.0,18.0,34.4,,,,9.0,33.2,45.1,,,,7.05,21.7,18.0,,,,1.0,4.5,50.8,,,,4.0,2.3,22.1,,,,25.5,3.8,45.4,,,,16.0,24.1,68.6,,,,,,,,,,,,,,,,,,,,,
AHMED FATHY,Qatar,MF,,65.0,49.4,,,45.1,,59.0,53.7,,,48.6,,90.8,75.3,,,70.9,,,,,,,,49.0,53.6,,,36.2,,22.0,61.1,,,47.4,,18.27,45.7,,,41.0,,80.0,53.3,,,45.0,,312.0,65.6,,,52.3,,29.5,20.3,,,21.3,,220.0,74.8,,,63.3,,,,,,,,,,,,,,,,,,,
AHMED FATOUH,Egypt,DF,,182.0,84.6,,76.4,,,163.0,86.3,,77.8,,,89.6,70.2,,58.6,,,,,,,,,77.0,69.1,,80.3,,,29.0,71.3,,78.6,,,32.86,76.1,,71.3,,,166.0,86.3,,88.4,,,408.0,80.7,,81.2,,,30.7,34.3,,23.6,,,201.0,70.9,,70.4,,,,,,,,,,,,,,,,,,,,
AHMED MAKNAZI,Iraq,DF,,5.0,7.2,,5.5,,,3.0,5.7,,4.5,,,60.0,5.1,,2.2,,,,,,,,,1.0,2.6,,4.3,,,1.0,4.5,,6.2,,,4.28,13.8,,11.6,,,16.0,17.5,,11.6,,,55.0,19.4,,13.1,,,29.7,22.1,,14.4,,,70.0,42.4,,36.8,,,,,,,,,,,,,,,,,,,,
AHMED QASEM,Iraq,FW,,16.0,20.1,,,,39.6,13.0,20.7,,,,41.0,81.2,37.0,,,,55.0,,,,,,,52.0,55.8,,,,53.7,11.0,39.9,,,,47.8,15.46,40.0,,,,52.7,78.0,52.2,,,,56.0,215.0,50.8,,,,60.9,32.0,55.0,,,,45.2,201.0,70.9,,,,71.7,,,,,,,,,,,,,,,,,,
AIMAN YAHYA,Saudi Arabia,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.1,,,,4.0,,,,,,,,,,,,,,,,,,
AIMAR SHER,Iraq,MF,,22.0,24.7,,,19.6,,20.0,27.4,,,20.9,,90.9,76.0,,,72.4,,,,,,,,27.0,36.5,,,21.6,,10.0,36.7,,,23.2,,3.14,10.4,,,9.2,,0.0,2.1,,,0.8,,6.0,3.2,,,1.1,,24.6,2.9,,,1.2,,16.0,24.1,,,16.4,,,,,,,,,,,,,,,,,,,
AKAM HASHIM,Iraq,DF,,148.0,78.7,,67.9,,,126.0,78.2,,66.8,,,85.1,50.3,,38.6,,,,,,,,,20.0,29.2,,34.8,,,10.0,36.7,,39.2,,,28.1,65.0,,58.2,,,79.0,52.9,,49.7,,,270.0,60.3,,58.8,,,33.7,85.1,,83.2,,,121.0,55.0,,51.0,,,,,,,,,,,,,,,,,,,,
AKRAM AFIF,Qatar,FW,,93.0,61.1,,,,87.1,73.0,60.2,,,,85.9,78.5,28.8,,,,44.3,,,,,,,83.0,71.2,,,,67.9,44.0,83.4,,,,85.4,23.54,56.4,,,,69.0,104.0,64.3,,,,66.7,194.0,47.0,,,,56.8,33.2,77.2,,,,66.0,140.0,58.7,,,,58.1,,,,,,,,,,,,,,,,,,
ALA ALHAJJI,Saudi Arabia,MF,,17.0,20.9,,,16.4,,16.0,23.4,,,17.3,,94.1,87.6,,,88.8,,,,,,,,17.0,24.9,,,13.8,,7.0,27.1,,,16.7,,5.36,16.6,,,14.4,,33.0,27.2,,,19.4,,98.0,28.3,,,19.3,,26.8,6.8,,,4.3,,45.0,35.4,,,25.6,,,,,,,,,,,,,,,,,,,
ALEX SANDRO,Brazil,DF,,13.0,17.0,,9.8,,,13.0,20.7,,11.5,,,100.0,97.2,,98.0,,,,,,,,,6.0,10.5,,13.6,,,2.0,8.8,,10.8,,,1.82,5.3,,4.5,,,8.0,10.3,,5.4,,,31.0,12.1,,7.8,,,26.6,5.8,,3.4,,,12.0,22.0,,20.5,,,,,,,,,,,,,,,,,,,,
ALHASHMI ALHUSSEIN,Qatar,DF,,0.0,0.8,,1.1,,,0.0,0.9,,1.1,,,,,,,,,,,,,,,1.0,2.6,,4.3,,,1.0,4.5,,6.2,,,4.07,12.9,,11.1,,,20.0,19.7,,14.1,,,50.0,18.2,,12.2,,,30.2,28.9,,18.1,,,51.0,36.5,,31.1,,,,,,,,,,,,,,,,,,,,
ALI ALHAMADI,Iraq,FW,,35.0,34.4,,,,59.2,26.0,32.3,,,,58.5,74.3,19.3,,,,31.8,,,,,,,100.0,77.4,,,,75.0,18.0,55.0,,,,61.9,22.67,54.9,,,,66.3,112.0,68.4,,,,69.9,258.0,58.1,,,,68.2,33.5,82.4,,,,73.6,179.0,66.3,,,,65.7,,,,,,,,,,,,,,,,,,
ALI AZAIZEH,Jordan,FW,,13.0,17.0,,,,34.0,12.0,19.2,,,,37.9,92.3,81.9,,,,88.0,,,,,,,30.0,39.3,,,,39.6,7.0,27.1,,,,34.9,9.23,26.3,,,,37.4,40.0,31.4,,,,33.2,129.0,35.0,,,,43.2,30.0,25.6,,,,19.7,123.0,55.3,,,,54.3,,,,,,,,,,,,,,,,,,
ALI JASIM,Iraq,FW,,36.0,35.0,,,,60.2,29.0,34.8,,,,61.9,80.6,35.5,,,,52.8,,,,,,,55.0,57.9,,,,55.6,18.0,55.0,,,,61.9,15.7,40.5,,,,53.4,92.0,58.1,,,,60.0,252.0,57.1,,,,67.3,29.6,21.2,,,,15.5,158.0,62.1,,,,62.5,,,,,,,,,,,,,,,,,,
ALI LAJAMI,Saudi Arabia,DF,,68.0,51.1,,38.2,,,56.0,52.0,,39.2,,,82.4,40.6,,27.5,,,,,,,,,11.0,16.4,,21.3,,,7.0,27.1,,29.7,,,16.52,42.3,,35.2,,,54.0,38.5,,32.7,,,145.0,37.9,,31.0,,,31.6,48.2,,39.0,,,104.0,51.5,,47.7,,,,,,,,,,,,,,,,,,,,
ALI MAJRASHI,Saudi Arabia,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.1,,8.8,,,,,,,,,,,,,,,,,,,,
ALI OLWAN,Jordan,FW,,48.0,41.8,,,,68.9,36.0,40.4,,,,68.4,75.0,21.1,,,,34.7,,,,,,,63.0,63.1,,,,58.2,19.0,56.7,,,,63.1,33.57,77.5,,,,83.7,138.0,78.6,,,,77.7,411.0,81.1,,,,88.6,33.4,81.1,,,,71.8,374.0,94.3,,,,92.4,,,,,,,,,,,,,,,,,,
