ranking_position_group,ranking_metric,ranking_value,player_name,team,position_group,minutes_total,passes_attempted_pdf,passes_attempted_pdf_per90,passes_completed_pdf,passes_completed_pdf_per90,pass_success_pct_pdf,pass_success_pct_pdf_per90,offers_made_pdf,offers_made_pdf_per90,offers_received_pdf,offers_received_pdf_per90,distance_km_pdf,distance_km_pdf_per90,sprints_pdf,sprints_pdf_per90,high_speed_runs_pdf,high_speed_runs_pdf_per90,top_speed_kmh_pdf,top_speed_kmh_pdf_per90,defensive_actions_proxy_pdf,defensive_actions_proxy_pdf_per90
GK,passes_attempted,255.0,Gregor KOBEL,Switzerland,GK,,255.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,237.0,Ronwen WILLIAMS,South Africa,GK,,237.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,226.0,Unai SIMON,Spain,GK,,226.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,223.0,Jordan PICKFORD,England,GK,,223.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,211.0,Yassine BOUNOU,Morocco,GK,,211.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,204.0,Orjan NYLAND,Norway,GK,,204.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,202.0,Camilo VARGAS,Colombia,GK,,202.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,198.0,Thibaut COURTOIS,Belgium,GK,,198.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,184.0,Emiliano MARTINEZ,Argentina,GK,,184.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,169.0,Mike MAIGNAN,France,GK,,169.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,166.0,VOZINHA,Cabo Verde,GK,,166.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,159.0,Orlando GILL,Paraguay,GK,,159.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,155.0,Raul RANGEL,Mexico,GK,,155.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,155.0,Nikola VASILJ,Bosnia and Herzegovina,GK,,155.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,147.0,MOSTAFA SHOUBIR,Egypt,GK,,147.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,139.0,Lionel MPASI,Congo DR,GK,,139.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,132.0,ALISSON,Brazil,GK,,132.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,129.0,Manuel NEUER,Germany,GK,,129.0,,,,,,,,,,,,,,,,,,,
GK,passes_attempted,129.0,Dominik LIVAKOVIC,Croatia,GK,,129.0,,,,,,,,,,,,,,,,,,,
