player_match_id,match_no,team,squad_no,player_name,position_group,offering_summary_v01,offering_summary_v02,offering_summary_v03,offering_made,offering_received,offering_made_received_pct,dist_v01,dist_v02,dist_v03,dist_v04,dist_v05,dist_v06,dist_v07,passes_attempted,passes_completed,pass_completion_pct,dist_v08,dist_v09,dist_v10,dist_v11,dist_v12,offers_v01,offers_v02,offers_v03,total_offers,offers_received,offers_v04,offers_v05,offers_v06,offers_v07,offers_v08,oop_v01,oop_v02,oop_v03,oop_v04,oop_v05,oop_v06,oop_v07,oop_v08,oop_v09,oop_v10,oop_v11,oop_v12,oop_v13,physical_v01,physical_v02,physical_v03,physical_v04,physical_v05,physical_v06,physical_v07,physical_v08,total_distance_m,zone1_0_7_m,zone2_7_15_m,zone3_15_20_m,zone4_20_25_m,zone5_25_plus_m,high_speed_runs_zone3,sprints_zone4_5,top_speed_kmh,physical_v09,oop_v14,dist_v13,dist_v14,offering_summary_v04,offering_summary_v05,offering_summary_v06,offering_summary_v07,dist_v15,dist_v16,dist_v17,dist_v18,dist_v19,dist_v20,dist_v21,dist_v22,offers_v09,offers_v10,offers_v11,offers_v12,offers_v13,offers_v14,oop_v15,oop_v16,oop_v17,oop_v18,oop_v19,oop_v20,oop_v21,physical_v10,physical_v11,physical_v12,physical_v13,physical_v14,physical_v15,physical_v16,physical_v17,physical_v18,physical_v19,dist_v23,dist_v24,dist_v25,dist_v26,dist_v27,dist_v28,dist_v29,dist_v30,dist_v31,dist_v32,dist_v33,dist_v34,dist_v35,dist_v36,dist_v37,dist_v38,dist_v39,dist_v40,dist_v41,dist_v42,dist_v43,dist_v44,dist_v45,dist_v46,dist_v47,dist_v48,dist_v49,dist_v50,dist_v51,dist_v52,dist_v53,dist_v54,dist_v55,dist_v56,dist_v57,dist_v58,dist_v59,dist_v60,dist_v61,dist_v62,dist_v63,dist_v64,dist_v65,dist_v66,dist_v67,dist_v68,dist_v69,dist_v70,dist_v71,dist_v72,dist_v73,dist_v74,dist_v75,dist_v76,dist_v77,dist_v78,dist_v79,dist_v80,dist_v81,dist_v82,dist_v83,dist_v84,dist_v85,dist_v86,dist_v87,dist_v88,dist_v89,dist_v90,dist_v91,dist_v92,dist_v93,dist_v94,dist_v95,dist_v96,dist_v97,dist_v98,dist_v99,dist_v100,dist_v101,offers_v15,offers_v16,offers_v17,offers_v18,offers_v19,offers_v20,offers_v21,offers_v22,offers_v23,offers_v24,offers_v25,offers_v26,offers_v27,offers_v28,offers_v29,offers_v30,offers_v31,offers_v32,offers_v33,offers_v34,offers_v35,offers_v36,offers_v37,offers_v38,offers_v39,offers_v40,offers_v41,offers_v42,offers_v43,offers_v44,offers_v45,offers_v46,offers_v47,offers_v48,offers_v49,offers_v50,offers_v51,oop_v22,oop_v23,oop_v24,oop_v25,oop_v26,oop_v27,oop_v28,oop_v29,oop_v30,oop_v31,oop_v32,oop_v33,oop_v34,oop_v35,oop_v36,oop_v37,oop_v38,oop_v39,oop_v40,oop_v41,oop_v42,oop_v43,oop_v44,oop_v45,oop_v46,oop_v47,oop_v48,oop_v49,oop_v50,oop_v51,oop_v52,oop_v53,oop_v54,oop_v55,oop_v56,oop_v57,oop_v58,oop_v59,oop_v60,oop_v61,oop_v62,oop_v63,oop_v64,oop_v65,oop_v66,oop_v67,oop_v68,oop_v69,oop_v70,oop_v71,oop_v72,oop_v73,oop_v74,oop_v75,oop_v76,oop_v77,dist_v102,dist_v103,dist_v104
M001_mexico_01,1,Mexico,1,Raul RANGEL,GK,13.0,4.0,30.8%,13.0,4.0,30.8,33.0,29.0,88%,1.0,13.0,10,77%,33.0,29.0,88.0,,,,,,13.0,13.0,4.0,13.0,4.0,,,,,,5,6.0,,,,,,,,,,,,5476.4,4175.3,1076.4,200.9,23.7,18.0,3.0,23.2,5476.4,4175.3,1076.4,200.9,23.7,18.0,3.0,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_03,1,Mexico,3,Cesar MONTES,DF,6.0,3.0,50%,6.0,3.0,50.0,65.0,60.0,92%,1.0,17.0,12,71%,65.0,60.0,92.0,,,,,,6.0,1.0,5.0,6.0,3.0,3.0,,,,,2,1.0,2.0,2.0,3.0,10,4.0,1.0,4,,,,,8545.9,3627.5,3690.9,840.5,300.9,86.0,72.0,25.0,8545.9,3627.5,3690.9,840.5,300.9,86.0,72.0,25.0,30.1,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_04,1,Mexico,4,Edson ALVAREZ,DF,19.0,8.0,42.1%,19.0,8.0,42.1,16.0,14.0,88%,1.0,5.0,5,100%,16.0,14.0,88.0,,,,,,19.0,6.0,4.0,19.0,8.0,2.0,7.0,8.0,,,3 / 1,3.0,1.0,2.0,1.0,1,,,,,,,,2007.7,744.8,707.0,307.4,143.9,104.6,28.0,15.0,2007.7,744.8,707.0,307.4,143.9,104.6,28.0,15.0,31.5,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_05,1,Mexico,5,Johan VASQUEZ,DF,22.0,15.0,68.2%,22.0,15.0,68.2,82.0,77.0,94%,16.0,13.0,81%,3,82.0,77.0,94.0,3,,,,,22.0,5.0,17.0,22.0,15.0,15.0,,,,,2 / 0,2.0,2.0,2.0,3.0,1,4.0,2.0,4,12,3,3.0,3,10046.9,4107.2,4232.8,1151.6,455.2,100.2,102.0,33.0,10046.9,4107.2,4232.8,1151.6,455.2,100.2,102.0,33.0,27.9,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_06,1,Mexico,6,Erik LIRA,MF,49.0,23.0,46.9%,49.0,23.0,46.9,46.0,42.0,91%,1.0,11.0,10,91%,46.0,42.0,91.0,,,,,,49.0,25.0,13.0,49.0,23.0,1.0,10.0,23.0,,,2 / 1,1.0,3.0,9.0,1.0,1,1.0,3.0,30,7,1,1.0,,8877.0,2999.1,4287.6,1145.6,363.4,81.3,103.0,27.0,8877.0,2999.1,4287.6,1145.6,363.4,81.3,103.0,27.0,31.4,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_08,1,Mexico,8,Alvaro FIDALGO,MF,43.0,15.0,34.9%,43.0,15.0,34.9,34.0,30.0,88%,7.0,4.0,57%,6,34.0,30.0,88.0,2,4,,,,43.0,14.0,14.0,43.0,15.0,2.0,6.0,4.0,3.0,15.0,1,1.0,3.0,14.0,3.0,27,10.0,1.0,1,,,,,8582.8,2509.2,3740.9,1623.2,566.1,143.4,132.0,49.0,8582.8,2509.2,3740.9,1623.2,566.1,143.4,132.0,49.0,30.8,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_09,1,Mexico,9,Raul JIMENEZ,FW,25.0,8.0,32%,25.0,8.0,32.0,17.0,14.0,82%,3.0,2.0,67%,1,17.0,14.0,82.0,1,4,1.0,,,25.0,2.0,10.0,25.0,8.0,1.0,1.0,11.0,8.0,,1 / 1,1.0,21.0,4.0,4.0,3,14.0,10.0,2,,,,,7503.0,3337.6,2730.4,928.1,390.0,116.9,67.0,33.0,7503.0,3337.6,2730.4,928.1,390.0,116.9,67.0,33.0,33.3,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_10,1,Mexico,10,Alexis VEGA,FW,12.0,5.0,41.7%,12.0,5.0,41.7,10.0,10.0,100%,1.0,1.0,1,1,10.0,10.0,100.0,,,,,,12.0,5.0,1.0,12.0,5.0,5.0,1.0,5.0,,,3,1.0,,,,,,,,,,,,1915.4,633.5,740.5,388.6,104.0,48.9,28.0,10.0,1915.4,633.5,740.5,388.6,104.0,48.9,28.0,10.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_14,1,Mexico,14,Armando GONZALEZ,FW,7.0,2.0,28.6%,7.0,2.0,28.6,1.0,1.0,100%,,,,,1.0,1.0,100.0,,,,,,7.0,3.0,4.0,7.0,2.0,2.0,,,,,1,7.0,1.0,4.0,1.0,,,,,,,,,2086.0,748.9,748.0,323.7,186.9,78.4,25.0,14.0,2086.0,748.9,748.0,323.7,186.9,78.4,25.0,14.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_15,1,Mexico,15,Israel REYES,DF,30.0,10.0,33.3%,30.0,10.0,33.3,51.0,47.0,92%,3.0,2.0,1,13,51.0,47.0,92.0,9,69%,1.0,,,30.0,6.0,1.0,30.0,10.0,1.0,5.0,17.0,10.0,,1,1.0,4.0,1.0,2.0,2,1.0,25.0,2,3,1,,,10267.2,4054.7,4245.7,1379.4,409.9,177.4,117.0,27.0,10267.2,4054.7,4245.7,1379.4,409.9,177.4,117.0,27.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
