player_name,team,position_group,minutes_total,volume_passe_index,seguranca_passe_index,oferta_recebimento_index,motor_fisico_index,defesa_sem_bola_index,style_profile_pdf
ABDALLAH ALFAKHORI,Jordan,GK,,,,,,9.1,Goleiro
ABDALLAH NASIB,Jordan,DF,,60.7,37.4,52.4,59.4,74.8,Defensor sem bola
ABDULAZIZ HATEM,Qatar,MF,,32.3,34.6,58.9,22.9,41.8,Jogador de apoio e recepção
ABDULELAH ALAMRI,Saudi Arabia,DF,,63.7,51.4,57.1,57.9,60.4,Construtor de volume
ABDULLAH ALHAMDDAN,Saudi Arabia,FW,,24.0,20.2,31.2,40.6,59.9,Defensor sem bola
ABDULLAH ALKHAIBARI,Saudi Arabia,MF,,46.5,44.6,39.8,59.9,69.4,Defensor sem bola
AHMED ALAAELDIN,Qatar,FW,,9.3,5.0,21.9,22.6,40.1,Defensor sem bola
AHMED ALGANEHI,Qatar,MF,,16.8,48.3,6.3,17.9,32.6,Distribuidor seguro
AHMED ALKASSAR,Saudi Arabia,GK,,,,,,9.1,Goleiro
AHMED BASIL,Iraq,GK,,48.0,24.0,48.9,9.5,24.1,Goleiro
AHMED FATHY,Qatar,MF,,51.5,64.5,60.0,54.9,74.8,Defensor sem bola
AHMED FATOUH,Egypt,DF,,85.4,78.2,63.3,81.0,70.9,Construtor de volume
AHMED MAKNAZI,Iraq,DF,,6.5,5.4,35.2,16.9,42.4,Defensor sem bola
AHMED QASEM,Iraq,FW,,20.4,28.8,35.3,47.7,70.9,Defensor sem bola
AIMAN YAHYA,Saudi Arabia,FW,,,,,,9.1,Defensor sem bola
AIMAR SHER,Iraq,MF,,26.0,51.7,40.2,5.2,24.1,Distribuidor seguro
AKAM HASHIM,Iraq,DF,,78.5,64.2,47.0,59.4,55.0,Construtor de volume
AKRAM AFIF,Qatar,FW,,60.7,44.5,78.3,55.9,58.7,Jogador de apoio e recepção
ALA ALHAJJI,Saudi Arabia,MF,,22.1,55.5,36.2,24.0,35.4,Distribuidor seguro
ALEX SANDRO,Brazil,DF,,18.9,59.0,19.0,9.2,22.0,Distribuidor seguro
ALHASHMI ALHUSSEIN,Qatar,DF,,0.9,0.9,35.2,16.9,36.5,Defensor sem bola
ALI ALHAMADI,Iraq,FW,,33.3,25.8,45.9,60.5,66.3,Defensor sem bola
ALI AZAIZEH,Jordan,FW,,18.1,50.6,26.6,30.9,55.3,Defensor sem bola
ALI JASIM,Iraq,FW,,34.9,35.2,49.4,51.9,62.1,Defensor sem bola
ALI LAJAMI,Saudi Arabia,DF,,51.5,46.3,45.0,39.6,51.5,Construtor de volume
ALI MAJRASHI,Saudi Arabia,DF,,,,,,9.1,Defensor sem bola
ALI OLWAN,Jordan,FW,,41.1,30.8,49.5,79.1,94.3,Defensor sem bola
ALI YOUSIF,Iraq,FW,,6.7,52.4,7.2,19.4,35.4,Distribuidor seguro
ALISSON,Brazil,GK,,74.4,55.0,43.9,24.3,34.8,Goleiro distribuidor
ALMOEZ ALI,Qatar,FW,,4.2,6.6,19.3,12.5,30.0,Defensor sem bola
AMER JAMOUS,Jordan,MF,,6.7,52.4,38.4,12.0,38.8,Distribuidor seguro
AMIR ALAMMARI,Iraq,MF,,72.2,51.1,66.2,70.7,74.0,Defensor sem bola
ANAS BADAWI,Jordan,DF,,,,,,9.1,Defensor sem bola
ASSIM MADIBO,Qatar,MF,,33.1,36.1,22.9,27.3,64.3,Defensor sem bola
AYMEN HUSSEIN,Iraq,FW,,19.6,20.2,39.3,36.1,61.3,Defensor sem bola
AYOUB ALOUI,Qatar,DF,,23.4,9.4,17.9,40.9,59.9,Defensor sem bola
Aaron HICKEY,Scotland,DF,,39.9,57.8,45.1,26.5,40.6,Distribuidor seguro
Aaron TSHIBOLA,Congo DR,MF,,,,,,9.1,Defensor sem bola
Aaron WAN-BISSAKA,Congo DR,DF,,75.2,53.1,63.1,88.5,95.7,Defensor sem bola
Abbosbek FAYZULLAEV,Uzbekistan,MF,,32.8,19.8,50.0,70.0,90.3,Defensor sem bola
Abdoulaye SECK,Senegal,DF,,31.6,44.8,28.6,18.5,24.1,Distribuidor seguro
Abdukodir KHUSANOV,Uzbekistan,DF,,63.4,52.9,43.0,58.3,61.9,Construtor de volume
Abdul FATAWU,Ghana,FW,,25.1,32.3,57.9,50.5,57.8,Jogador de apoio e recepção
Abdul MUMIN,Ghana,DF,,,,,,9.1,Defensor sem bola
Abdulkerim BARDAKCI,Türkiye,DF,,92.2,85.6,62.3,62.3,63.1,Construtor de volume
Abdulla ABDULLAEV,Uzbekistan,DF,,54.8,65.0,46.4,45.5,54.0,Distribuidor seguro
Abduvohid NEMATOV,Uzbekistan,GK,,39.9,18.2,40.4,11.8,23.6,Goleiro
Achraf HAKIMI,Morocco,DF,,99.2,84.2,84.0,98.2,92.2,Construtor de volume
Achref ABADA,Algeria,DF,,,,,,9.1,Defensor sem bola
Adalberto CARRASQUILLA,Panama,MF,,,,,,9.1,Defensor sem bola
Adam AROUS,Tunisia,DF,,,,,,9.1,Defensor sem bola
Adam HLOZEK,Czechia,FW,,26.8,18.9,51.8,54.9,67.0,Defensor sem bola
Adil BOULBINA,Algeria,FW,,22.9,35.3,29.0,12.6,32.0,Distribuidor seguro
Adrien RABIOT,France,MF,,95.7,90.7,70.9,95.1,92.2,Construtor de volume
Agustin CANOBBIO,Uruguay,MF,,53.0,62.8,62.4,74.5,85.5,Defensor sem bola
Ahmed Reda TAGNAOUTI,Morocco,GK,,,,,,9.1,Goleiro
Aiden ONEILL,Australia,MF,,82.8,61.9,77.3,93.7,89.2,Motor físico
Aissa MANDI,Algeria,DF,,98.1,92.0,52.9,68.2,60.4,Construtor de volume
Ajdin HRUSTIC,Australia,FW,,32.5,46.4,39.0,39.6,52.6,Defensor sem bola
Akmal MOZGOVOY,Uzbekistan,MF,,56.2,48.4,65.7,65.8,72.7,Defensor sem bola
Alan FRANCO,Ecuador,MF,,80.0,85.2,66.0,68.4,74.0,Distribuidor seguro
Alan MINDA,Ecuador,MF,,19.6,20.2,36.4,23.7,41.2,Defensor sem bola
Alban LAFONT,Côte d'Ivoire,GK,,,,,,9.1,Goleiro
Alberto QUINTERO,Panama,MF,,5.1,51.4,24.0,6.4,19.4,Distribuidor seguro
Alejandro ROMERO GAMARRA,Paraguay,FW,,12.2,8.0,19.0,4.4,33.1,Defensor sem bola
Aleksandar PAVLOVIC,Germany,MF,,93.3,87.8,86.3,88.1,79.1,Construtor de volume
Alessandro CIRCATI,Australia,DF,,89.3,61.5,69.7,84.7,83.0,Construtor de volume
Alessandro SCHOEPF,Austria,MF,,,,,,9.1,Defensor sem bola
Alex ARCE,Paraguay,FW,,13.3,13.1,10.3,30.6,43.2,Defensor sem bola
Alex BAENA,Spain,MF,,81.8,60.4,71.6,84.7,83.9,Motor físico
Alex FREEMAN,USA,DF,,95.1,84.6,82.6,92.0,91.8,Construtor de volume
Alex GRIMALDO,Spain,DF,,,,,,9.1,Defensor sem bola
Alex PAULSEN,New Zealand,GK,,,,,,9.1,Goleiro
Alex RUFER,New Zealand,MF,,,,,,9.1,Defensor sem bola
Alex ZENDEJAS,USA,FW,,10.3,31.8,26.4,16.3,32.0,Defensor sem bola
Alexander BERNHARDSSON,Sweden,DF,,49.5,36.0,42.3,58.8,76.1,Defensor sem bola
Alexander ISAK,Sweden,FW,,56.7,45.6,62.6,78.5,85.2,Defensor sem bola
Alexander NUEBEL,Germany,GK,,,,,,9.1,Goleiro
Alexander PRASS,Austria,MF,,28.1,46.4,37.1,19.9,25.7,Distribuidor seguro
Alexander SCHLAGER,Austria,GK,,72.8,64.1,68.4,29.9,30.8,Goleiro distribuidor
Alexander SORLOTH,Norway,FW,,67.5,50.0,76.1,88.2,74.6,Motor físico
Alexandr SOJKA,Czechia,MF,,49.3,41.4,56.6,60.8,80.7,Defensor sem bola
Alexandre PIERRE,Haiti,GK,,,,,,9.1,Goleiro
Alexandro MAIDANA,Paraguay,DF,,21.5,16.0,21.6,27.9,47.9,Defensor sem bola
Alexis MAC ALLISTER,Argentina,MF,,97.4,89.2,79.4,95.4,97.3,Construtor de volume
Alexis SAELEMAEKERS,Belgium,MF,,38.1,33.6,44.5,38.5,44.3,Jogador de apoio e recepção
Alexis VEGA,Mexico,FW,,15.2,57.0,32.1,9.7,18.8,Distribuidor seguro
Alfie JONES,Canada,DF,,,,,,9.1,Defensor sem bola
Ali ABDI,Tunisia,DF,,51.2,30.0,51.1,74.3,89.2,Defensor sem bola
Ali AHMED,Canada,FW,,48.9,38.6,65.2,74.5,93.3,Defensor sem bola
Ali ALIPOUR,IR Iran,FW,,9.3,5.0,11.5,18.9,35.4,Defensor sem bola
Ali NEMATI,IR Iran,DF,,74.9,70.4,50.2,71.7,66.6,Construtor de volume
Alidu SEIDU,Ghana,DF,,29.9,57.2,30.4,25.5,38.3,Distribuidor seguro
Alireza BEIRANVAND,IR Iran,GK,,58.2,32.2,26.5,15.5,33.4,Goleiro
Alireza JAHANBAKHSH,IR Iran,MF,,15.3,12.0,22.5,23.9,37.6,Defensor sem bola
Alistair JOHNSTON,Canada,DF,,90.5,57.2,81.5,97.7,91.0,Motor físico
Alphonso DAVIES,Canada,DF,,21.6,24.3,37.1,13.8,22.0,Jogador de apoio e recepção
Altay BAYINDIR,Türkiye,GK,,,,,,9.1,Goleiro
Alvaro FIDALGO,Mexico,MF,,57.3,72.8,68.7,49.7,53.4,Distribuidor seguro
Alvaro MONTERO,Colombia,GK,,,,,,9.1,Goleiro
Amad DIALLO,Côte d'Ivoire,FW,,55.8,73.4,67.8,59.4,60.7,Distribuidor seguro
Amadou ONANA,Belgium,MF,,50.7,60.4,56.4,36.4,51.0,Distribuidor seguro
Amar DEDIC,Bosnia and Herzegovina,DF,,63.5,49.6,39.0,74.6,87.5,Defensor sem bola
Amar MEMIC,Bosnia and Herzegovina,MF,,43.0,31.7,37.4,70.3,64.3,Motor físico
Amine GOUIRI,Algeria,FW,,47.4,55.8,62.0,71.3,88.6,Defensor sem bola
