team,players_total,minutes_total,passes_attempted_pdf,passes_completed_pdf,line_breaks_pdf,offers_made_pdf,offers_received_pdf,distance_km_pdf,sprints_pdf,high_speed_runs_pdf,defensive_actions_proxy_pdf,shots_pdf,xg_pdf,top_speed_kmh_max,pass_success_pct_pdf,offer_received_pct_pdf,team_gk_gk_total_involvements,team_gk_gk_line_breaks,team_gk_gk_distribution_page_no,team_gk_gk_attempts_on_goal_faced,team_gk_gk_save_pct,team_gk_gk_attempts_faced_table,team_gk_gk_total_goal_interventions,team_gk_gk_save_retain,team_gk_gk_deflect_retain,team_gk_gk_save_deflect,team_gk_gk_save_attempt,team_gk_gk_no_save_attempt,team_gk_gk_goal_prevention_page_no,team_possession_proxy_index,team_physical_intensity_index,team_defensive_exposure_index
Algeria,26,0.0,2641.0,2382.0,0.0,1621.0,551.0,443.96,1689.0,4932.0,3179.0,0.0,0.0,33.5,90.2,34.0,173.0,30.0,131,39.0,175.0,39.0,12.0,4.0,2.0,7.0,5.0,21.0,139,80.9,49.3,
Argentina,26,0.0,4163.0,3777.0,0.0,2541.0,1083.0,706.4399999999999,2423.0,7001.2,4752.0,0.0,0.0,35.2,90.7,42.6,248.0,64.0,196,50.0,240.0,50.0,9.0,3.0,0.0,6.0,4.0,37.0,208,99.3,86.8,
Australia,26,0.0,1647.0,1337.0,0.0,1039.0,380.0,494.03,1883.0,5685.8,4165.0,0.0,0.0,36.7,81.2,36.6,198.0,54.0,131,65.0,325.0,65.0,13.0,5.0,3.0,6.0,9.0,42.0,139,36.5,63.9,
Austria,26,0.0,1827.0,1561.0,0.0,1234.0,452.0,451.92,1739.0,4974.0,3750.0,0.0,0.0,34.1,85.4,36.6,194.0,26.0,132,59.0,224.0,59.0,14.0,5.0,1.0,9.0,16.0,28.0,140,47.2,53.5,
Belgium,26,0.0,3081.0,2653.0,0.0,2261.0,802.0,739.55,2976.0,8492.0,5361.0,0.0,0.0,34.8,86.1,35.5,304.0,86.0,200,72.0,402.0,72.0,18.0,5.0,1.0,13.0,11.0,42.0,212,72.2,100.0,
Bosnia and Herzegovina,26,0.0,1619.0,1318.0,0.0,986.0,354.0,453.58,1755.0,4855.0,3433.0,0.0,0.0,34.8,81.4,35.9,222.0,62.0,131,43.0,177.0,43.0,11.0,4.0,0.0,7.0,10.0,22.0,139,36.8,53.5,
Brazil,26,0.0,2742.0,2463.0,0.0,1952.0,763.0,561.33,2108.0,6086.8,4157.0,0.0,0.0,34.2,89.8,39.1,190.0,34.0,163,49.0,377.0,49.0,15.0,7.0,0.0,8.0,7.0,27.0,173,83.3,72.2,
Cabo Verde,26,0.0,1555.0,1272.0,0.0,1243.0,440.0,476.44,1678.0,4773.2,3939.0,0.0,0.0,35.0,81.8,35.4,268.0,81.0,133,75.0,273.0,75.0,12.0,4.0,6.0,8.0,7.0,50.0,141,34.7,50.7,
Canada,26,0.0,2099.0,1723.0,0.0,1589.0,568.0,570.48,2545.0,6883.0,4011.0,0.0,0.0,35.2,82.1,35.7,161.0,39.0,163,27.0,242.0,27.0,8.0,5.0,0.0,3.0,4.0,15.0,173,52.1,82.6,
Colombia,26,0.0,2791.0,2438.0,0.0,2159.0,756.0,559.97,2044.0,5801.0,3643.0,0.0,0.0,35.1,87.4,35.0,254.0,56.0,165,44.0,350.0,44.0,7.0,3.0,0.0,4.0,10.0,27.0,175,76.7,68.8,
Congo DR,26,0.0,1470.0,1195.0,0.0,1237.0,425.0,447.45,1766.0,4914.0,3568.0,0.0,0.0,34.4,81.3,34.4,208.0,51.0,133,49.0,156.0,49.0,16.0,1.0,0.0,15.0,2.0,31.0,141,31.2,52.1,
Croatia,26,0.0,1904.0,1662.0,0.0,1238.0,467.0,452.32,1824.0,5007.0,3200.0,0.0,0.0,34.1,87.3,37.7,197.0,44.0,132,52.0,197.0,52.0,12.0,0.0,1.0,11.0,10.0,30.0,140,59.7,57.6,
